index,salt-9gpl-freq-131khz,salt-13gpl-freq-131khz,salt-17gpl-freq-131khz,salt-21gpl-freq-131khz,salt-24gpl-freq-131khz,salt-28gpl-freq-131khz,salt-32gpl-freq-131khz,salt-36gpl-freq-131khz,salt-40gpl-freq-131khz
989,319,319,319,384,384,384,384,512,384
990,575,540,527,527,542,527,540,624,526
991,704,639,638,632,639,632,632,624,624
992,639,639,624,624,612,611,608,560,608
993,511,511,543,543,511,511,511,480,543
994,415,448,463,463,455,480,463,391,480
995,255,319,384,384,384,384,384,352,387
996,255,255,319,319,384,384,384,399,384
997,415,391,399,415,415,415,448,512,448
998,527,512,512,515,512,512,512,560,512
999,608,575,572,575,569,568,568,575,568
1000,624,611,575,608,575,575,575,572,575
1001,543,572,568,568,543,560,543,480,543
1002,384,448,448,448,448,451,451,384,455
1003,255,255,319,319,384,384,384,384,384
1004,319,319,384,384,384,384,384,448,384
1005,512,451,455,480,480,463,512,542,480
1006,575,568,543,561,543,543,543,543,543
1007,536,543,543,543,543,543,543,496,543
1008,399,448,455,455,455,455,463,399,480
1009,255,319,384,384,384,384,385,319,387
1010,231,255,255,255,319,319,319,384,319
1011,319,255,352,384,384,384,384,512,384
1012,560,512,512,518,512,512,513,575,512
1013,671,639,627,639,624,624,624,632,609
1014,639,639,639,639,632,632,624,575,624
1015,560,575,575,572,573,568,568,480,568
1016,384,448,448,448,448,448,448,384,448
1017,255,255,352,319,384,384,384,384,384
1018,384,319,384,384,384,384,385,455,387
1019,512,512,480,512,512,512,512,518,512
1020,515,519,512,519,519,518,519,508,519
1021,480,496,487,496,504,496,497,487,499
1022,480,480,480,481,483,486,483,496,487
1023,481,486,496,496,487,496,496,496,496
1024,463,480,483,480,480,483,483,460,483
1025,399,448,448,448,448,448,449,399,448
1026,255,384,384,384,385,384,391,384,387
1027,255,255,319,352,384,384,384,415,384
1028,512,415,448,448,448,448,448,543,448
1029,624,575,575,575,568,575,568,608,572
1030,624,624,608,608,575,575,575,543,575
1031,497,511,511,511,511,511,511,463,511
1032,391,448,448,448,448,448,449,415,448
1033,384,387,399,399,415,415,448,448,415
1034,384,391,412,415,415,448,448,448,448
1035,384,384,391,414,415,415,415,415,415
1036,384,384,391,399,412,415,415,451,415
1037,512,455,463,480,480,480,480,527,480
1038,608,575,568,543,543,543,543,560,543
1039,543,568,543,543,543,543,543,504,543
1040,448,480,480,480,480,480,480,448,480
1041,391,412,415,448,448,448,448,448,448
1042,414,415,448,448,448,448,448,448,448
1043,391,399,415,448,448,448,448,448,448
1044,399,399,415,448,448,448,448,448,448
1045,448,448,448,448,448,448,451,512,451
1046,543,512,512,512,512,512,512,543,512
1047,614,575,575,572,569,568,568,572,568
1048,575,575,575,574,572,568,568,568,568
1049,575,575,572,572,572,568,568,543,568
1050,560,563,543,543,543,543,543,540,543
1051,540,543,527,540,527,537,536,511,527
1052,480,496,496,499,496,499,499,449,497
1053,387,414,415,448,448,448,448,448,448
1054,448,448,448,448,448,448,451,512,449
1055,560,527,526,519,519,515,519,575,519
1056,639,636,614,608,608,575,575,611,575
1057,636,639,624,614,612,608,608,511,608
1058,483,511,511,511,511,511,511,480,511
1059,448,448,448,455,455,463,463,463,463
