index,time,dive-temperature,dive-depth,dive-speed
892,2025-12-12 09:43:19.494275+00:00,26.0,35.312,-0.01633333333333553
892,2025-12-12 09:43:19.494275+00:00,24.76,35.426,0.03800000000000144
893,2025-12-12 09:43:40.219641+00:00,25.24,34.443000000000005,-0.32766666666666566
893,2025-12-12 09:43:40.219641+00:00,26.49,34.446999999999996,0.001333333333330226
893,2025-12-12 09:43:40.219641+00:00,27.21,34.511,0.02133333333333572
893,2025-12-12 09:43:40.219641+00:00,26.57,32.705,-0.6020000000000015
894,2025-12-12 09:44:00.900971+00:00,25.67,32.826,0.040333333333334075
894,2025-12-12 09:44:00.900971+00:00,26.98,30.686,-0.7133333333333335
894,2025-12-12 09:44:00.900971+00:00,26.9,31.235,0.18299999999999983
894,2025-12-12 09:44:00.900971+00:00,26.81,33.18,0.6483333333333334
895,2025-12-12 09:44:21.401079+00:00,24.65,33.46,0.09333333333333371
895,2025-12-12 09:44:21.401079+00:00,24.85,33.84,0.1266666666666675
895,2025-12-12 09:44:21.401079+00:00,24.48,27.3,-2.180000000000001
895,2025-12-12 09:44:21.401079+00:00,24.24,27.004,-0.09866666666666646
897,2025-12-12 09:44:42.588292+00:00,26.79,19.774,-2.41
897,2025-12-12 09:44:42.588292+00:00,27.14,18.715999999999998,-0.3526666666666678
897,2025-12-12 09:44:42.588292+00:00,27.16,16.924,-0.5973333333333327
897,2025-12-12 09:44:42.588292+00:00,27.18,19.21,0.7620000000000005
898,2025-12-12 09:45:03.183631+00:00,27.12,18.193,-0.3389999999999998
898,2025-12-12 09:45:03.183631+00:00,26.58,20.68,0.8289999999999994
898,2025-12-12 09:45:03.183631+00:00,26.55,20.865,0.06166666666666624
898,2025-12-12 09:45:03.183631+00:00,27.1,20.775,-0.029999999999999954
899,2025-12-12 09:45:23.698280+00:00,26.84,20.976999999999997,0.06733333333333273
899,2025-12-12 09:45:23.698280+00:00,26.86,15.195,-1.9273333333333322
899,2025-12-12 09:45:23.698280+00:00,26.68,20.088,1.6310000000000002
899,2025-12-12 09:45:23.698280+00:00,26.87,20.265,0.058999999999999865
900,2025-12-12 09:45:44.370682+00:00,27.02,40.408,6.714333333333333
900,2025-12-12 09:45:44.370682+00:00,26.67,38.773,-0.5449999999999994
900,2025-12-12 09:45:44.370682+00:00,26.47,46.568999999999996,2.5986666666666642
900,2025-12-12 09:45:44.370682+00:00,26.69,47.147,0.19266666666666765
901,2025-12-12 09:46:05.088248+00:00,26.81,42.101000000000006,-1.6819999999999975
901,2025-12-12 09:46:05.088248+00:00,26.98,41.489,-0.20400000000000298
901,2025-12-12 09:46:05.088248+00:00,26.8,42.023,0.17800000000000202
901,2025-12-12 09:46:05.088248+00:00,27.23,39.198,-0.9416666666666677
902,2025-12-12 09:46:25.622467+00:00,27.23,39.93,0.24399999999999977
902,2025-12-12 09:46:25.622467+00:00,27.01,30.299,-3.2103333333333333
902,2025-12-12 09:46:25.622467+00:00,26.24,38.167,2.6226666666666674
902,2025-12-12 09:46:25.622467+00:00,25.88,38.693999999999996,0.17566666666666464
903,2025-12-12 09:46:46.403892+00:00,25.83,38.17,-0.1746666666666646
903,2025-12-12 09:46:46.403892+00:00,25.0,36.978,-0.39733333333333337
903,2025-12-12 09:46:46.403892+00:00,25.16,37.088,0.03666666666666648
903,2025-12-12 09:46:46.403892+00:00,25.42,36.56399999999999,-0.17466666666666933
904,2025-12-12 09:47:07.100508+00:00,24.83,37.063,0.16633333333333647
904,2025-12-12 09:47:07.100508+00:00,26.18,30.195,-2.289333333333334
904,2025-12-12 09:47:07.100508+00:00,25.92,36.91,2.238333333333332
904,2025-12-12 09:47:07.100508+00:00,25.84,34.701,-0.7363333333333321
905,2025-12-12 09:47:27.582222+00:00,25.47,34.504,-0.06566666666666758
905,2025-12-12 09:47:27.582222+00:00,24.59,34.523,0.006333333333335152
905,2025-12-12 09:47:27.582222+00:00,24.25,34.58,0.01899999999999835
905,2025-12-12 09:47:27.582222+00:00,24.05,34.81,0.07666666666666799
906,2025-12-12 09:47:38.225765+00:00,24.3,34.997,0.06233333333333254
906,2025-12-12 09:47:38.225765+00:00,24.66,34.946000000000005,-0.016999999999998277
906,2025-12-12 09:47:38.225765+00:00,24.58,35.172,0.07533333333333066
906,2025-12-12 09:47:38.225765+00:00,24.76,35.071000000000005,-0.03366666666666399
907,2025-12-12 09:47:58.723254+00:00,25.32,34.885,-0.06200000000000235
907,2025-12-12 09:47:58.723254+00:00,24.68,35.04,0.05166666666666705
907,2025-12-12 09:47:58.723254+00:00,24.37,35.165,0.041666666666666664
907,2025-12-12 09:47:58.723254+00:00,24.36,35.138999999999996,-0.008666666666667785
908,2025-12-12 09:48:19.429450+00:00,24.02,34.997,-0.04733333333333197
908,2025-12-12 09:48:19.429450+00:00,24.43,34.839,-0.052666666666667084
908,2025-12-12 09:48:19.429450+00:00,24.39,35.346000000000004,0.16900000000000168
908,2025-12-12 09:48:19.429450+00:00,24.33,34.711000000000006,-0.211666666666666
909,2025-12-12 09:48:40.123396+00:00,24.17,34.201,-0.1700000000000017
909,2025-12-12 09:48:40.123396+00:00,23.85,34.468999999999994,0.0893333333333312
909,2025-12-12 09:48:40.123396+00:00,23.76,34.278999999999996,-0.06333333333333258
909,2025-12-12 09:48:40.123396+00:00,23.73,34.324,0.015000000000000568
910,2025-12-12 09:49:00.654602+00:00,23.66,34.533,0.06966666666666772
910,2025-12-12 09:49:00.654602+00:00,23.55,34.106,-0.1423333333333332
910,2025-12-12 09:49:00.654602+00:00,23.54,34.364,0.08599999999999852
910,2025-12-12 09:49:00.654602+00:00,23.54,33.92100000000001,-0.1476666666666636
911,2025-12-12 09:49:21.301319+00:00,23.62,37.883,1.3206666666666653
911,2025-12-12 09:49:21.301319+00:00,23.65,39.43899999999999,0.5186666666666634
911,2025-12-12 09:49:21.301319+00:00,23.74,39.757,0.10600000000000165
911,2025-12-12 09:49:21.301319+00:00,23.81,39.757,0.0
913,2025-12-12 09:49:42.481264+00:00,24.46,38.98,-0.25900000000000034
913,2025-12-12 09:49:42.481264+00:00,25.56,38.91,-0.023333333333333428
913,2025-12-12 09:49:42.481264+00:00,25.68,38.498000000000005,-0.13733333333333064
913,2025-12-12 09:49:42.481264+00:00,25.05,36.632,-0.6220000000000022
914,2025-12-12 09:50:02.995886+00:00,24.64,36.663000000000004,0.010333333333335304
914,2025-12-12 09:50:02.995886+00:00,24.45,35.972,-0.23033333333333417
914,2025-12-12 09:50:02.995886+00:00,24.74,35.278,-0.2313333333333342
914,2025-12-12 09:50:02.995886+00:00,24.74,34.897,-0.12700000000000009
915,2025-12-12 09:50:23.697411+00:00,24.65,33.685,-0.40399999999999875
915,2025-12-12 09:50:23.697411+00:00,24.33,34.067,0.12733333333333263
915,2025-12-12 09:50:23.697411+00:00,24.17,33.306999999999995,-0.253333333333335
915,2025-12-12 09:50:23.697411+00:00,24.18,32.631,-0.2253333333333316
916,2025-12-12 09:50:44.388830+00:00,24.26,35.428999999999995,0.9326666666666649
916,2025-12-12 09:50:44.388830+00:00,24.04,42.083999999999996,2.2183333333333337
916,2025-12-12 09:50:44.388830+00:00,24.03,42.31100000000001,0.07566666666667032
916,2025-12-12 09:50:44.388830+00:00,23.91,42.599,0.09599999999999653
917,2025-12-12 09:51:04.918949+00:00,24.04,42.44,-0.05299999999999964
917,2025-12-12 09:51:04.918949+00:00,24.06,42.28,-0.0533333333333322
917,2025-12-12 09:51:04.918949+00:00,24.08,42.292,0.004000000000000152
917,2025-12-12 09:51:04.918949+00:00,24.06,42.343999999999994,0.01733333333333083
